IATA,ICAO,Name,Country,City
NME,PAGT,Nightmute Airport ,United States,"Nightmute, Alaska"
NMF,VRDA,Maafaru International Airport,Maldives,"Maafaru, Noonu"
NMG,,San Miguel Airport,Panama,San Miguel
NML,,Fort McMurray/Mildred Lake Airport,Canada,"Fort McMurray, Alberta"
NMN,,Nomane Airport,Papua New Guinea,Nomane
NMP,,New Moon Airport,Australia,"New Moon, Queensland"
NMR,YNAP,Nappa Merrie Airport,Australia,"Nappa Merrie, Queensland"
NMS,VYNS,Nansang Airport,Myanmar,Nansang (Namsang)
NMT,VYNT,Namtu Airport,Myanmar,Namtu
NNA,GMMY,Kenitra Air Base,Morocco,Kenitra
NNB,AGGT,Santa Ana Airport,Solomon Islands,Santa Ana Island (Owaraha)
NND,,Nangade Airport,Mozambique,Nangade
NNG,ZGNN,Nanning Wuxu International Airport,China,"Nanning, Guangxi"
NNI,FYNA,Namutoni Airport,Namibia,Namutoni
NNK,,Naknek Airport ,United States,"Naknek, Alaska"
NNL,PANO,Nondalton Airport ,United States,"Nondalton, Alaska"
NNM,ULAM,Naryan-Mar Airport,Russia,"Naryan-Mar, Nenets Autonomous Okrug"
NNR,EICA,Connemara Airport,Ireland,Spiddal
NNT,VTCN,Nan Nakhon Airport,Thailand,Nan
NNU,SNNU,Nanuque Airport,Brazil,"Nanuque, Minas Gerais"
NNX,WRLF,Nunukan Airport,Indonesia,Nunukan
NNY,ZHNY,Nanyang Jiangying Airport,China,"Nanyang, Henan"
NOA,YSNW,NAS Nowra,Australia,"Nowra, New South Wales"
NOB,MRNS,Nosara Airport,Costa Rica,Nosara
NOC,EIKN,Ireland West Airport Knock,Ireland,Knock
NOD,EDWS,Norddeich Airport,Germany,"Norden, Lower Saxony"
NOG,MMNG,Nogales International Airport,Mexico,"Nogales, Sonora"
NOI,,Novorossiysk Airport,Russia,"Novorossiysk, Krasnodar Krai"
NOJ,USRO,Noyabrsk Airport,Russia,"Noyabrsk, Yamalo-Nenets Autonomous Okrug"
NOK,SWXV,Nova Xavantina Airport,Brazil,"Nova Xavantina, Mato Grosso"
NOM,ATNR,Nomad River Airport,Papua New Guinea,Nomad River
NON,NGTO,Nonouti Airport,Kiribati,Nonouti
NOO,,Naoro Airport,Papua New Guinea,Naoro
NOP,LTCM,Sinop Airport,Turkey,Sinop
NOR,BINF,Norðfjörður Airport,Iceland,Nordfjordur
NOS,FMNN,Fascene Airport,Madagascar,Nosy Be
NOT,KDVO,Marin County Airport (Gnoss Field) ,United States,"Novato, California"
NOU,NWWW,La Tontouta International Airport,New Caledonia,Nouméa
NOV,FNHU,Albano Machado Airport,Angola,Huambo
NOZ,UNWW,Spichenkovo Airport,Russia,"Novokuznetsk, Kemerovo Oblast"
NPA,KNPA,NAS Pensacola (Forrest Sherman Field),United States,"Pensacola, Florida"
NPE,NZNR,Hawke's Bay Airport,New Zealand,Napier / Hastings
NPG,,Nipa Airport,Papua New Guinea,Nipa
NPH,,Nephi Municipal Airport ,United States,"Nephi, Utah"
NPL,NZNP,New Plymouth Airport,New Zealand,New Plymouth
NPO,WIOG,Nanga Pinoh Airport,Indonesia,Nanga Pinoh
NPP,,Napperby Airport,Australia,"Napperby, Northern Territory"
NPR,SJNP,Novo Progresso Airport,Brazil,"Novo Progresso, Pará"
NPT,KUUU,Newport State Airport ,United States,"Newport, Rhode Island"
NPU,,San Pedro de Urabá Airport,Colombia,San Pedro de Urabá
NPY,HTMP,Mpanda Airport,Tanzania,"Mpanda, Katavi Region"
NQA,KNQA,Millington Regional Jetport,United States,"Millington, Tennessee"
NQI,KNQI,NAS Kingsville,United States,"Kingsville, Texas"
NQL,SWNQ,Niquelândia Airport,Brazil,"Niquelândia, Goiás"
NQN,SAZN,Presidente Perón International Airport,Argentina,"Neuquén, Neuquén"
NQT,EGBN,Nottingham Airport,United Kingdom,"Nottingham, England"
NQU,SKNQ,Reyes Murillo Airport,Colombia,Nuquí
NQX,KNQX,NAS Key West (Boca Chica Field),United States,"Key West, Florida"
NQY,EGDG,Newquay Airport,United Kingdom,"Newquay, England"
NQZ,UACC,"Nursultan Nazarbayev International Airport (since June 8, 2020)",Kazakhstan,Nur-Sultan
NRA,YNAR,Narrandera Airport,Australia,"Narrandera, New South Wales"
NRB,KNRB,NS Mayport (Admiral David L. McDonald Field),United States,"Mayport, Florida"
NRC,KNRC,NASA Crows Landing Airport,United States,"Crows Landing, California"
NRD,EDWY,Norderney Airport,Germany,"Norderney, Lower Saxony"
NRE,WAPG,Namrole Airport,Indonesia,Namrole
NRG,YNRG,Narrogin Airport,Australia,"Narrogin, Western Australia"
NRI,,Grand Lake Regional Airport,United States,"Afton, Oklahoma"
NRK,ESSP,Norrköping Airport,Sweden,Norrköping
NRL,EGEN,North Ronaldsay Airport,United Kingdom,"North Ronaldsay, Scotland"
NRM,GANK,Keibane Airport,Mali,Nara
NRN,EDLV,Weeze Airport (Niederrhein Airport),Germany,"Weeze, North Rhine-Westphalia"
NRR,TJRV,José Aponte de la Torre Airport,United States,"Ceiba, Puerto Rico"
NRS,KNRS,NOLF Imperial Beach (Ream Field),United States,"Imperial Beach, California"
NRT,RJAA,Narita International Airport,Japan,"Tokyo, Honshu"
NRY,,Newry Airport,Australia,"Newry Station, Northern Territory"
NSB,,North Seaplane Base,Bahamas,Bimini
NSE,KNSE,NAS Whiting Field – North,United States,"Milton, Florida"
NSH,OINN,Noshahr Airport,Iran,Nowshahr
NSI,FKYS,Yaoundé Nsimalen International Airport,Cameroon,Yaoundé
NSK,UOOO,Alykel Airport,Russia,"Norilsk, Krasnoyarsk Krai"
NSL,KDVP,Slayton Municipal Airport,United States,"Slayton, Minnesota"
NSM,YNSM,Norseman Airport,Australia,"Norseman, Western Australia"
NSN,NZNS,Nelson Airport,New Zealand,Nelson
NSO,YSCO,Scone Airport,Australia,"Scone, New South Wales"
NST,VTSF,Nakhon Si Thammarat Airport,Thailand,Nakhon Si Thammarat
NSV,YNSH,Noosa Airport,Australia,"Noosaville, Queensland"
NSY,LICZ,Naval Air Station Sigonella,Italy,"Catania, Sicily"
NTA,,Natadola Seaplane Base,Fiji,Natadola Bay
NTB,ENNO,"Notodden Airport, Tuven",Norway,Notodden
NTC,,Santa Carolina Airport,Mozambique,Santa Carolina
NTD,KNTD,NAS Point Mugu (Naval Base Ventura County),United States,"Point Mugu, California"
NTE,LFRS,Nantes Atlantique Airport,France,"Nantes, Pays de la Loire"
NTG,ZSNT,Nantong Xingdong Airport,China,"Nantong, Jiangsu"
NTI,,Stenkol Airport,Indonesia,Bintuni
NTJ,,Manti-Ephraim Airport ,United States,"Manti, Utah"
NTL,YWLM,Newcastle Airport / RAAF Base Williamtown,Australia,"Newcastle, New South Wales"
NTM,SNRW,Miracema do Tocantins Airport,Brazil,"Miracema do Tocantins, Tocantins"
NTN,YNTN,Normanton Airport,Australia,"Normanton, Queensland"
NTO,GVAN,Agostinho Neto Airport,Cape Verde,Santo Antão
NTQ,RJNW,Noto Airport,Japan,"Wajima, Honshu"
NTR,MMAN,Del Norte International Airport,Mexico,"Monterrey, Nuevo León"
NTT,NFTP,Niuatoputapu Airport,Tonga,Niuatoputapu
NTU,KNTU,NAS Oceana (Apollo Soucek Field),United States,"Virginia Beach, Virginia"
NTX,WION,Ranai Airport,Indonesia,Natuna Islands
NTY,FAPN,Pilanesberg International Airport,South Africa,Sun City
NUA,,Gregory Lake Seaplane Base,Sri Lanka,Nuwara Eliya
NUB,YNUM,Numbulwar Airport,Australia,"Numbulwar, Northern Territory"
NUD,HSNH,En Nahud Airport,Sudan,En Nahud
NUE,EDDN,Nuremberg Airport,Germany,"Nuremberg, Bavaria"
NUF,,Castlereigh Reservoir Seaplane Base,Sri Lanka,Hatton
NUG,,Nuguria Airstrip,Papua New Guinea,Nuguria
NUH,,Nunchía Airport,Colombia,Nunchía
NUI,PAQT,Nuiqsut Airport ,United States,"Nuiqsut, Alaska"
NUJ,OIHS,Hamedan Air Base,Iran,Hamadan
NUK,NTGW,Nukutavake Airport,French Polynesia,"Nukutavake, Tuamotus"
NUL,PANU,Nulato Airport,United States,"Nulato, Alaska"
NUM,OENN,Neom Bay Airport,Saudi Arabia,Neom
NUN,KNUN,NOLF Saufley Field,United States,"Pensacola, Florida"
NUP,,Nunapitchuk Airport ,United States,"Nunapitchuk, Alaska"
NUQ,KNUQ,Moffett Federal Airfield,United States,"Mountain View, California"
NUR,YNUB,Nullabor Motel Airport,Australia,"Nullarbor, South Australia"
NUS,NVSP,Norsup Airport,Vanuatu,"Norsup, Malakula"
NUT,,Nutuve Airport,Papua New Guinea,Nutuve
NUU,HKNK,Nakuru Airport,Kenya,Nakuru
NUW,KNUW,NAS Whidbey Island (Ault Field),United States,"Oak Harbor, Washington"
NUX,USMU,Novy Urengoy Airport,Russia,"Novy Urengoy, Yamalo-Nenets Autonomous Okrug"
NVA,SKNV,Benito Salas Airport,Colombia,Neiva
NVD,KNVD,Nevada Municipal Airport,United States,"Nevada, Missouri"
NVG,MNNG,Nueva Guinea Airport,Nicaragua,Nueva Guinea
NVI,UTSA,Navoi International Airport,Uzbekistan,Navoiy
NVK,ENNK,"Narvik Airport, Framnes",Norway,Narvik
NVN,,Nervino Airport ,United States,"Beckwourth, California"
NVP,,Novo Aripuanã Airport,Brazil,"Novo Aripuanã, Amazonas"
NVR,ULNN,Novgorod Airport,Russia,"Veliky Novgorod, Novgorod Oblast"
NVS,LFQG,Nevers - Fourchambault Airport,France,"Nevers, Burgundy"
NVT,SBNF,Navegantes–Ministro Victor Konder International Airport,Brazil,"Navegantes, Santa Catarina"
NVY,VONV,Neyveli Airport,India,"Neyveli, Tamil Nadu"
NWA,FMCI,Mohéli Bandar Es Eslam Airport,Comoros,Mohéli
NWH,,Parlin Field ,United States,"Newport, New Hampshire"
NWI,EGSH,Norwich International Airport,United Kingdom,"Norwich, England"
NWT,,Nowata Airport,Papua New Guinea,Nowata
NYA,USHN,Nyagan Airport,Russia,"Nyagan, Khanty-Mansi Autonomous Okrug"
NYC,,metropolitan area2,United States,"New York City, New York"
NYE,HKNI,Nyeri Airport,Kenya,Nyeri
NYG,KNYG,MCAF Quantico (Turner Field),United States,"Quantico, Virginia"
NYI,DGSN,Sunyani Airport,Ghana,Sunyani
NYK,HKNY,Nanyuki Airport,Kenya,Nanyuki
NYM,USMM,Nadym Airport,Russia,"Nadym, Yamalo-Nenets Autonomous Okrug"
NYN,YNYN,Nyngan Airport,Australia,"Nyngan, New South Wales"
NYS,,New York Skyports Seaplane Base,United States,New York City
NYO,ESKN,Stockholm Skavsta Airport,Sweden,Stockholm / Nyköping
NYR,UENN,Nyurba Airport,Russia,"Nyurba, Yakutia"
NYT,VYNT,Naypyidaw Airport,Myanmar,Naypyidaw (Nay Pyi Taw)
NYU,VYBG,Nyaung U Airport,Myanmar,Bagan / Nyaung-U
NYW,VYMY,Monywa Airport,Myanmar,Monywa
NZA,FNZG,Nzagi Airport,Angola,Nzagi
NZC,SPZA,Maria Reiche Neuman Airport,Peru,Nazca
NZE,GUNZ,Nzérékoré Airport,Guinea,Nzérékoré
NZH,ZBMZ,Manzhouli Xijiao Airport,China,"Manzhouli, Inner Mongolia"
NZL,,Zhalantun Chengjisihan Airport,China,"Zhalantun, Inner Mongolia"
NZY,KNZY,NAS North Island (Halsey Field),United States,"San Diego, California"
OAA,OASH,Forward Operating Base Shank,Afghanistan,Gardez
OAG,YORG,Orange Airport,Australia,"Orange, New South Wales"
OAH,OASD,Shindand Air Base,Afghanistan,Shindand
OAI,OAIX,Bagram Airfield,Afghanistan,Bagram
OAJ,KOAJ,Albert J. Ellis Airport,United States,"Jacksonville, North Carolina"
OAK,KOAK,Oakland International Airport,United States,"Oakland, California"
OAL,SSKW,Capital do Café Airport,Brazil,"Cacoal, Rondônia"
OAM,NZOU,Oamaru Airport,New Zealand,Oamaru
OAN,MHEA,El Arrayán Airport,Honduras,Olanchito
OAR,KOAR,Marina Municipal Airport,United States,"Monterey / Marina, California"
OAS,OASA,Sharana Airstrip / Forward Operating Base Sharana,Afghanistan,Sharana
OAX,MMOX,Xoxocotlán International Airport,Mexico,"Oaxaca de Juárez, Oaxaca"
OAZ,OAZI,Camp Bastion Air Base,Afghanistan,Girishk (Gereshk)
OBA,,Oban Airport,Australia,"Oban, Queensland"
OBC,HDOB,Obock Airport,Djibouti,Obock
OBD,,Obano Airport,Indonesia,Obano
OBE,KOBE,Okeechobee County Airport,United States,"Okeechobee, Florida"
OBF,EDMO,Oberpfaffenhofen Airport,Germany,"Oberpfaffenhofen, Bavaria"
OBI,SBTI,Óbidos Airport,Brazil,"Óbidos, Pará"
OBL,EBZR,Oostmalle Airfield,Belgium,Zoersel
OBM,,Morobe Airport,Papua New Guinea,Morobe
OBN,EGEO,Oban Airport,United Kingdom,"Oban, Scotland"
OBO,RJCB,Tokachi–Obihiro Airport,Japan,"Obihiro, Hokkaido"
OBS,LFHO,Aubenas Aerodrome,France,"Aubenas, Rhône-Alpes"
OBU,PAOB,Kobuk Airport,United States,"Kobuk, Alaska"
OBX,AYOB,Obo Airport,Papua New Guinea,Obo
OCA,,Ocean Reef Club Airport ,United States,"Key Largo, Florida"
OCC,SECO,Francisco de Orellana Airport,Ecuador,Puerto Francisco de Orellana (Coca)
OCE,KOXB,Ocean City Municipal Airport,United States,"Ocean City, Maryland"
OCF,KOCF,Ocala International Airport (Jim Taylor Field),United States,"Ocala, Florida"
OCH,KOCH,A.L. Mangham Jr. Regional Airport,United States,"Nacogdoches, Texas"
OCJ,MKBS,Ian Fleming International Airport,Jamaica,Ocho Rios
OCM,YBGD,Boolgeeda Airport,Australia,"Boolgeeda, Western Australia"
OCN,KOKB,Oceanside Municipal Airport ,United States,"Oceanside, California"
OCS,,Corisco International Airport,Equatorial Guinea,Corisco Island
OCV,SKOC,Aguas Claras Airport,Colombia,Ocaña
OCW,KOCW,Washington–Warren Airport (Warren Field),United States,"Washington, North Carolina"
ODA,FEFW,Ouadda Airport,Central African Republic,Ouadda
ODB,LEBA,Córdoba Airport,Spain,"Córdoba, Andalusia"
ODC,,Oakdale Airport,United States,"Oakdale, California"
ODD,YOOD,Oodnadatta Airport,Australia,"Oodnadatta, South Australia"
ODE,EKOD,Hans Christian Andersen Airport,Denmark,Odense
ODH,EGVO,RAF Odiham,United Kingdom,"Odiham, England"
ODJ,FEGO,Ouanda Djallé Airport,Central African Republic,Ouanda Djallé
ODL,,Cordillo Downs Airport,Australia,"Cordillo Downs, South Australia"
ODM,,Garrett County Airport,United States,"Oakland, Maryland"
ODN,WBGI,Long Seridan Airport,Malaysia,"Long Seridan, Sarawak"
ODO,UIKB,Bodaybo Airport,Russia,"Bodaybo, Irkutsk Oblast"
ODR,YORV,Ord River Airport,Australia,"Ord River, Western Australia"
ODS,UKOO,Odesa International Airport,Ukraine,Odesa
ODW,KOKH,A.J. Eisenberg Airport ,United States,"Oak Harbor, Washington"
ODY,VLOS,Oudomsay Airport,Laos,Muang Xay (Oudomxai)
OEC,WPOC,Oecusse Airport,East Timor,Oecussi
OEL,UUOR,Oryol Yuzhny Airport,Russia,"Oryol (Orel), Oryol Oblast"
OEM,SMPA,Vincent Fayks Airport,Suriname,Paloemeu
OEO,KOEO,L.O. Simenstad Municipal Airport,United States,"Osceola, Wisconsin"
OER,ESNO,Örnsköldsvik Airport,Sweden,Örnsköldsvik
OES,SAVN,Antoine de Saint Exupéry Airport,Argentina,"San Antonio Oeste, Río Negro"
OFF,KOFF,Offutt Air Force Base,United States,"Omaha, Nebraska"
OFI,DIOF,Ouango Fitini Airport,Ivory Coast,Ouango Fitini
OFJ,BIOF,Ólafsfjörður Airport,Iceland,Ólafsfjörður
OFK,KOFK,Norfolk Regional Airport (Karl Stefan Memorial Field),United States,"Norfolk, Nebraska"
OFU,NSAS,Ofu Airport ,American Samoa,Ofu Island
OGA,KOGA,Searle Field,United States,"Ogallala, Nebraska"
OGB,KOGB,Orangeburg Municipal Airport,United States,"Orangeburg, South Carolina"
OGD,KOGD,Ogden-Hinckley Airport,United States,"Ogden, Utah"
OGE,,Ogeramnang Airport,Papua New Guinea,Ogeramnang
OGG,PHOG,Kahului Airport,United States,"Kahului, Hawaii"
OGL,SYGO,Ogle Airport,Guyana,Georgetown
OGM,,Ustupu-Ogobsucum Airport,Panama,Ustupo
OGN,ROYN,Yonaguni Airport,Japan,"Yonaguni, Yaeyama Islands"
OGO,DIAU,Abengourou Airport,Ivory Coast,Abengourou
OGR,FTTB,Bongor Airport,Chad,Bongor
OGS,KOGS,Ogdensburg International Airport,United States,"Ogdensburg, New York"
OGU,LTCB,Ordu–Giresun Airport,Turkey,Ordu / Giresun
OGV,FYNG,Ongava Airstrip,Namibia,Ongava
OGX,DAUU,Ain Beida Airport,Algeria,Ouargla
OGZ,URMO,Beslan Airport,Russia,"Vladikavkaz, North Ossetia-Alania"
OHA,NZOH,RNZAF Base Ohakea,New Zealand,Bulls
OHB,,Ambohibary Airport,Madagascar,Moramanga
OHD,LWOH,"Ohrid ""St. Paul the Apostle"" Airport",North Macedonia,Ohrid
OHE,ZYMH,Mohe Gulian Airport,China,"Mohe, Heilongjiang"
OHH,UHSH,Okha Airport (Novostroyka Airport),Russia,"Okha, Sakhalin Oblast"
OHI,FYOS,Oshakati Airport,Namibia,Oshakati
OHO,UHOO,Okhotsk Airport,Russia,"Okhotsk, Khabarovsk Krai"
OHR,EDXY,Wyk auf Föhr Airport,Germany,"Wyk auf Föhr, Schleswig-Holstein"
OHS,OOSH,Sohar Airport,Oman,Sohar
OHT,OPKT,PAF Base Kohat,Pakistan,Kohat
OIA,SDOW,Ourilândia do Norte Airport,Brazil,"Ourilândia do Norte, Pará"
OIC,KOIC,Lt. Warren Eaton Airport,United States,"Norwich, New York"
OIM,RJTO,Oshima Airport,Japan,"Ōshima, Izu Islands"
OIR,RJEO,Okushiri Airport,Japan,"Okushiri, Okushiri Island"
OIT,RJFO,Oita Airport,Japan,"Oita, Kyushu"
OJC,KOJC,Johnson County Executive Airport,United States,"Olathe, Kansas"
OJU,,Tanjung Api Airport,Indonesia,"Ampana, Tojo Una-Una Regency, Central Sulawesi"
OKA,ROAH,Naha Airport,Japan,"Okinawa, Ryukyu Islands"
OKB,YORC,Orchid Beach Airport,Australia,"Fraser Island, Queensland"
OKC,KOKC,Will Rogers World Airport,United States,"Oklahoma City, Oklahoma"
OKD,RJCO,Okadama Airport,Japan,"Sapporo, Hokkaido"
OKE,RJKB,Okinoerabu Airport,Japan,"Okinoerabujima, Amami Islands"
OKF,FYOO,Okaukuejo Airport,Namibia,Okaukuejo
OKG,,Okoyo Airport,Republic of the Congo,Okoyo
OKH,EGXJ,RAF Cottesmore,United Kingdom,"Oakham, England"
OKI,RJNO,Oki Airport,Japan,"Dogo, Oki Islands"
OKJ,RJOB,Okayama Airport,Japan,"Okayama, Honshu"
OKK,KOKK,Kokomo Municipal Airport,United States,"Kokomo, Indiana"
OKL,WAJO,Gunung Bintang Airport,Indonesia,Oksibil
OKM,KOKM,Okmulgee Regional Airport,United States,"Okmulgee, Oklahoma"
OKN,FOGQ,Okondja Airport,Gabon,Okondja
OKO,RJTY,Yokota Air Base,Japan,"Fussa, Honshu"
OKP,AYOJ,Oksapmin Airport,Papua New Guinea,Oksapmin
OKQ,WAKO,Okaba Airport,Indonesia,Okaba
OKR,YYKI,Yorke Island Airport,Australia,"Yorke Island, Queensland"
OKS,KOKS,Garden County Airport,United States,"Oshkosh, Nebraska"
OKT,UWUK,Oktyabrsky Airport,Russia,"Oktyabrsky, Bashkortostan"
OKU,FYMO,Mokuti Lodge Airport,Namibia,Mokuti Lodge
OKV,,Okao Airport,Papua New Guinea,Okao
OKY,YBOK,Oakey Army Aviation Centre,Australia,"Oakey, Queensland"
OLA,ENOL,Ørland Airport,Norway,Ørland
OLB,LIEO,Olbia Costa Smeralda Airport,Italy,"Olbia, Sardinia"
OLC,SDCG,Senadora Eunice Michiles Airport,Brazil,"São Paulo de Olivença, Amazonas"
OLD,KOLD,Old Town Municipal Airport and Seaplane Base (Dewitt Field),United States,"Old Town, Maine"
OLE,KOLE,Cattaraugus County-Olean Airport,United States,"Olean, New York"
OLF,KOLF,L. M. Clayton Airport,United States,"Wolf Point, Montana"
OLH,,Old Harbor Airport ,United States,"Old Harbor, Alaska"
OLI,BIRF,Rif Airport,Iceland,Ólafsvík
OLJ,NVSZ,Olpoi Airport,Vanuatu,Olpoi
OLK,SGOL,Fuerte Olimpo Airport,Paraguay,Fuerte Olimpo
OLL,,Oyo Ollombo Airport,Republic of the Congo,Oyo
OLM,KOLM,Olympia Regional Airport,United States,"Olympia, Washington"
OLN,SAVM,Lago Musters Airport,Argentina,"Sarmiento, Chubut"
OLO,LKOL,Olomouc Airport (Neředín Airport),Czech Republic,Olomouc
OLP,YOLD,Olympic Dam Airport,Australia,"Olympic Dam, South Australia"
OLQ,,Olsobip Airport,Papua New Guinea,Olsobip
OLR,OASL,Forward Operating Base Salerno,Afghanistan,Khost
OLS,KOLS,Nogales International Airport,United States,"Nogales, Arizona"
OLU,KOLU,Columbus Municipal Airport,United States,"Columbus, Nebraska"
OLV,KOLV,Olive Branch Airport,United States,"Olive Branch, Mississippi"
OLX,,Olkiombo Airstrip,Kenya,Olkiombo
OLY,KOLY,Olney-Noble Airport,United States,"Olney / Noble, Illinois"
OLZ,UEMO,Olyokminsk Airport,Russia,"Olyokminsk, Yakutia"
OMA,KOMA,Eppley Airfield,United States,"Omaha, Nebraska"
OMB,FOOH,Omboué Hospital Airport,Gabon,Omboué
OMC,RPVO,Ormoc Airport,Philippines,Ormoc
OMD,FYOG,Oranjemund Airport,Namibia,Oranjemund
OME,PAOM,Nome Airport,United States,"Nome, Alaska"
OMF,OJMF,King Hussein Air Base,Jordan,Mafraq
OMG,FYOE,Omega Airport,Namibia,Omega
OMH,OITR,Urmia Airport,Iran,Urmia (Urūmiyeh)
OMI,OIAJ,Omidiyeh Air Base,Iran,Omidiyeh
OMJ,RJDU,Ōmura Airport,Japan,"Nagasaki / Ōmura, Kyushu"
OMK,KOMK,Omak Airport,United States,"Omak, Washington"
OML,,Omkalai Airport,Papua New Guinea,Omkalai
OMM,OOMX,Marmul Airport,Oman,Marmul
OMO,LQMO,Mostar Airport,Bosnia and Herzegovina,Mostar
OMR,LROD,Oradea International Airport,Romania,Oradea
OMS,UNOO,Omsk Tsentralny Airport,Russia,"Omsk, Omsk Oblast"
OMY,,Thbeng Meanchey Airport,Cambodia,Phnom Tbeng Meanchey
ONA,KONA,Winona Municipal Airport (Max Conrad Field),United States,"Winona, Minnesota"
ONB,AYQQ,Ononge Airport,Papua New Guinea,Ononge
OND,FYOA,Ondangwa Airport,Namibia,Ondangwa
ONE,,Onepusu Airport,Solomon Islands,Onepusu
ONG,YMTI,Mornington Island Airport,Australia,"Mornington Island, Queensland"
ONH,,Oneonta Municipal Airport ,United States,"Oneonta, New York"
ONI,WABD,Moanamani Airport,Indonesia,Moanemani (Moanamani)
ONJ,RJSR,Odate–Noshiro Airport,Japan,"Ōdate / Noshiro, Honshu"
ONK,UERO,Olenyok Airport,Russia,"Olenyok, Yakutia"
ONL,KONL,O'Neill Municipal Airport (John L. Baker Field),United States,"O'Neill, Nebraska"
ONM,KONM,Socorro Municipal Airport,United States,"Socorro, New Mexico"
ONO,KONO,Ontario Municipal Airport,United States,"Ontario, Oregon"
ONP,KONP,Newport Municipal Airport,United States,"Newport, Oregon"
ONQ,LTAS,Zonguldak Airport,Turkey,Zonguldak
ONR,YMNK,Monkira Airport,Australia,"Monkira, Queensland"
ONS,YOLW,Onslow Airport,Australia,"Onslow, Western Australia"
ONT,KONT,Ontario International Airport,United States,"Ontario, California"
ONU,NFOL,Ono-i-Lau Airport,Fiji,Ono-i-Lau
ONX,MPEJ,Enrique Adolfo Jiménez Airport,Panama,Colón
ONY,KONY,Olney Municipal Airport,United States,"Olney, Texas"
OOA,KOOA,Oskaloosa Municipal Airport,United States,"Oskaloosa, Iowa"
OOK,PAOO,Toksook Bay Airport,United States,"Toksook Bay, Alaska"
OOL,YBCG,Gold Coast Airport (Coolangatta Airport),Australia,"Gold Coast, Queensland"
OOM,YCOM,Cooma–Snowy Mountains Airport,Australia,"Cooma, New South Wales"
OOR,YMOO,Mooraberree Airport,Australia,"Mooraberree, Queensland"
OOT,NGON,Onotoa Airport,Kiribati,Onotoa
OPA,BIKP,Kópasker Airport,Iceland,Kópasker
OPB,,Open Bay Airport,Papua New Guinea,Open Bay
OPF,KOPF,Miami-Opa Locka Executive Airport,United States,"Miami, Florida"
OPI,YOEN,Oenpelli Airport,Australia,"Gunbalanya (Oenpelli), Queensland"
OPL,KOPL,St. Landry Parish Airport (Ahart Field),United States,"Opelousas, Louisiana"
OPO,LPPR,Francisco de Sá Carneiro Airport,Portugal,Porto
OPS,SWSI,Presidente João Figueiredo Airport,Brazil,"Sinop, Mato Grosso"
OPU,AYBM,Balimo Airport,Papua New Guinea,Balimo
OPW,FYOP,Opuwa Airport,Namibia,Opuwo
ORA,SASO,Orán Airport,Argentina,"Orán, Salta"
ORB,ESOE,Örebro Airport,Sweden,Örebro
ORC,SKOE,Orocue Airport,Colombia,Orocué
ORD,KORD,O'Hare International Airport,United States,"Chicago, Illinois"
ORE,LFOZ,Orléans – Saint-Denis-de-l'Hôtel Airport,France,"Orléans, Centre-Val de Loire"
ORF,KORF,Norfolk International Airport,United States,"Norfolk, Virginia"
ORG,SMZO,Zorg en Hoop Airport,Suriname,Paramaribo
ORH,KORH,Worcester Regional Airport,United States,"Worcester, Massachusetts"
ORI,KORI,Port Lions Airport,United States,"Port Lions, Alaska"
ORJ,SYOR,Orinduik Airport,Guyana,Orinduik
ORK,EICK,Cork Airport,Ireland,Cork
ORL,KORL,Orlando Executive Airport,United States,"Orlando, Florida"
ORM,EGBK,Sywell Aerodrome,United Kingdom,"Northampton, England"
ORN,DAOO,Oran Es Sénia Airport,Algeria,Oran
ORO,MHYR,Yoro Airport,Honduras,Yoro
ORP,FBOR,Orapa Airport,Botswana,Orapa
ORR,YYOR,Yorketown Airport,Australia,"Yorketown, South Australia"
ORS,,Orpheus Island Resort Waterport,Australia,"Orpheus Island, Queensland"
ORT,PAOR,Northway Airport,United States,"Northway, Alaska"
ORU,SLOR,Juan Mendoza Airport,Bolivia,Oruro
ORV,PFNO,Robert (Bob) Curtis Memorial Airport ,United States,"Noorvik, Alaska"
ORW,OPOR,Ormara Airport,Pakistan,Ormara
ORX,SNOX,Oriximiná Airport,Brazil,"Oriximiná, Pará"
ORY,LFPO,Orly Airport,France,"Paris, Île-de-France"
ORZ,,Orange Walk Airport,Belize,Orange Walk Town
OSA,,metropolitan area1,Japan,"Osaka, Honshu"
OSB,,Grand Glaize-Osage Beach Airport ,United States,"Osage Beach, Missouri"
OSC,KOSC,Oscoda–Wurtsmith Airport,United States,"Oscoda, Michigan"
OSD,ESNZ,Åre Östersund Airport,Sweden,Östersund
OSE,,Omora Airport,Papua New Guinea,Omora
OSF,UUMO,Ostafyevo International Airport,Russia,"Moscow / Podolsk, Moscow Oblast"
OSG,,Ossima Airport,Papua New Guinea,Ossima
OSH,KOSH,Wittman Regional Airport,United States,"Oshkosh, Wisconsin"
OSI,LDOS,Osijek Airport,Croatia,Osijek
OSK,ESMO,Oskarshamn Airport,Sweden,Oskarshamn
OSL,ENGM,"Oslo Airport, Gardermoen",Norway,Oslo
OSM,ORBM,Mosul International Airport,Iraq,Mosul
OSN,RKSO,Osan Air Base,South Korea,Osan
OSO,YOSB,Osborne Mine Airport,Australia,"Osborne Mine, Queensland"
OSR,LKMT,Leoš Janáček Airport Ostrava,Czech Republic,Ostrava
OSS,UAFO,Osh Airport,Kyrgyzstan,Osh
